index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,wifi,rom,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,ppi,resolution_width,resolution_height,fast_charging,ram,Spec_Score,size_category,charging_category,brand_category
981,acer,1,0,11.8913619,4.5,77,qled,1,16,0.002373304,4,1,0,0,1,1,2,3,1,4,0,1,big
982,acer,1,0,11.5228758,4.35,75,qled,1,16,0.003144091,4,1,0,0,1,1,2,3,1,4,1,1,big
983,aiwa,1,0,10.58529569,4.75,55,qled,1,16,0.006605897,4,0,0,1,3,1,2,1,1,2,1,2,small
984,tseries,0,0,9.36828385,4.7,32,qled,0,16,0.014850555,3,0,0,1,0,0,0,1,2,0,0,2,small
985,onida,0,0,9.465060107,4.5,32,led,1,16,0.01255814,4,0,0,1,0,0,0,1,2,0,0,2,medium
986,haier,1,0,10.93844981,4.1,55,qled,1,32,0.004515178,4,0,0,1,3,1,2,2,2,3,1,2,big
987,acer,1,0,11.19821472,4.1,55,led,1,16,0.003089083,4,0,0,1,3,1,2,3,1,2,1,1,big
988,coocaa,0,1,10.30895266,4.05,43,led,1,19.2,0.004725158,3,0,0,1,1,0,1,1,0,0,0,2,medium
989,sansui,0,0,9.424725682,4.35,32,led,1,16,0.010883777,4,0,0,1,0,0,0,1,1,0,0,2,medium
990,acerpure,1,0,10.73639668,4.7,65,qled,1,16,0.005619687,4,0,0,1,2,1,2,1,0,2,1,2,medium
991,wobble,1,0,10.40426284,4,55,led,1,22.4,0.005818358,4,1,0,0,3,1,2,1,1,1,1,2,medium
992,wobble,1,0,10.27505111,4.3,50,led,1,22.4,0.006969206,4,1,0,0,4,1,2,1,1,1,1,2,medium
993,sony,1,0,12.34579741,4.5,77,led,1,16,0.001542252,4,0,0,1,1,1,2,1,1,4,0,2,big
994,bpl,1,0,10.62315494,4,50,led,1,25.6,0.004284949,4,0,0,1,4,1,2,2,1,1,1,1,small
995,samsung,1,0,10.30865262,4.3,43,led,1,25.6,0.007169056,4,1,0,0,4,1,2,1,1,1,0,2,big
996,marq,0,0,9.121509158,4,32,led,0,16,0.013587469,3,0,0,1,0,0,0,1,0,0,0,2,medium
997,bazeegar,1,0,9.952277717,4.25,43,qled,1,22.4,0.008905186,3,1,0,0,4,1,2,1,2,1,0,2,small
998,sony,1,0,11.87750608,4.35,75,led,1,16,0.002144941,4,1,0,0,1,1,2,1,1,4,1,2,big
999,wobble,1,0,10.37349118,4,50,qled,1,16,0.006500203,4,1,0,0,4,1,2,1,1,2,1,2,medium
1000,skylive,0,0,9.660268837,4.2,40,led,1,16,0.009106562,4,0,0,1,0,0,0,1,1,0,0,2,small
